1 ContestType, 2 Name, 3 Description
KLAVIER,2 Klavier,Klavier AG II
KLAVIER,3 Klavier,Klavier AG III
KLAVIER,4 Klavier,Klavier AG IV
KLAVIER,5 Klavier,Klavier AG V
KLAVIER,6 Klavier,Klavier AG VI
GESANG,3 Gesang,Gesang AG III
GESANG,4 Gesang,Gesang AG IV
GESANG,5 Gesang,Gesang AG V
GESANG,6 Gesang,Gesang AG VI
HARFE,2-4 Harfe,Harfe AG II- VI
ENSEMBLE,2-4 Holzbläser,Holzbläser AG II – VI
ENSEMBLE,2-4 Blechbläser,Blechbläser AG II – VI
ENSEMBLE,2-4 Streichinstrumente, Streichinstrumente AG II – VI
ENSEMBLE,2-4 Akkordeon,Akkordeon AG II - VI
POP,2-4 Gitarre,Pop-Gitarre AG II – VI
POP,2-4 Drum-Set,Drum-Set AG II - VI
NEUEMUSIK,Neue Musik,Neue Musik